Session #,Trial,DateTime,Video #,TrialType,Player1,Player2,Choice1,Choice2,Choice,Condition,OtherReward,DictReward,OneChoice,OtherTrial,FixationPointFrame,FixationPointTime,FP:TO,TargetsOnFrame,TargetsOnTime,TO:GO,GO:Choice,ChoiceTimeFrame,ChoiceTime,Choice:RRS,Choice:DRS,RecipientRewardStartFrame,RecipientRewardStartTime,RRS:RRE,RecipientRewardEndFrame,RecipientRewardEndTime,RRE:DRS,DictatorRewardStartFrame,DictatorRewardStartTime,DRS:DRE,DictatorRewardEndFrame,DictatorRewardEndTime,RewardEndPrev,ITI,EndTrialFrame,EndTrialTime,Choice:ET,AvertedBeforeChoiceLong,AvertedBeforeChoiceShort,AvertedAfterChoiceFull,AvertedAfterChoiceBR,AvertedAfterChoiceAR,RewardAnticipationOther,RewardAnticipationSelf,RewardAnticipationBeforeLong,RewardAnticipationBeforeShort,RewardAnticipationAfterFull,RewardAnticipationAfterBR,RewardAnticipationDuringReward,RewardAnticipationAfterAR,StereoAvertBeforeLong,StereoAvertBeforeShort,StereoAvertAfterFull,StereoAvertAfterBR,StereoAvertAfterAR
1,0,231002_1200,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,34.0,1.1175901,0.525901,49.0,1.6434911,0.5332517,8.1492104,310.0,10.3259532,1.2764569,3.3455874,348.0,11.6024101,1.4539523,392.0,13.0563624,0.6151782,410.0,13.6715406,1.4265755,453.0,15.0981161,0.0,,487.0,16.2182652,5.892312,,0.636363636,0.476744186,1.0,0.347826087,0.315789474,1.0,,0.01532567,0.581920904,0.315789474,1.0,0.654676259,,,,,
1,1,231002_1200,1,Dual,Mufasa,Empty,2,0,Low,3,,0.0,,False,529.0,17.6428833,0.5296609,545.0,18.1725442,0.6339894,9.0886386,837.0,27.8951722,,1.0538675,,,,,,,868.0,28.9490397,2.1213345,932.0,31.0703742,453.0,2.5447672,966.0,32.1911389,4.2959667,0.482084691,0.482638889,0.833333333,,,,,0.450520833,0.592465753,0.0,,,,0.659090909,,,,
1,2,231002_1200,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,1007.0,33.5536209,0.5315068,1023.0,34.0851277,0.5339971,0.5904005,1056.0,35.2095253,1.2467445,3.2987819,1094.0,36.4562698,1.4334498,1137.0,37.8897196,0.6185876,1155.0,38.5083072,1.4215399,1198.0,39.9298471,932.0,2.4832467,1231.0,41.0463996,5.8368743,0.826086957,0.575757576,0.846153846,0.964285714,0.8203125,0.0,0.5,0.209677419,0.606060606,0.291428571,0.0,0.0,0.372262774,,,,,
1,3,231002_1200,1,Dual,Mufasa,Empty,2,0,,3,,,,False,1272.0,42.4096809,0.5324682,1288.0,42.9421491,0.6173926,,,,,,,,,,,,,,,,,1198.0,2.4798338,1760.0,58.6563514,,,,,,,,,,,,,,,,,,,
1,4,231002_1200,1,Dual,Mufasa,Empty,2,0,High,3,2.0,2.0,,False,1799.0,59.9584693,0.531154,1815.0,60.4896233,0.6338996,4.108383,1957.0,65.2319059,1.2473904,3.299645,1994.0,66.4792963,1.4292499,2037.0,67.9085462,0.6230047,2056.0,68.5315509,1.4221234,2099.0,69.9536743,1760.0,1.3021179,2132.0,71.0765771,5.8446712,0.367567568,0.422535211,0.62601626,0.162162162,0.825581395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659090909,0.0,,,
1,5,231002_1200,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,2172.0,72.3986928,0.5338961,2188.0,72.9325889,0.6340781,1.8563842,2263.0,75.4230512,1.2479716,3.2839597,2300.0,76.6710228,1.4263381,2343.0,78.0973609,0.60965,2361.0,78.7070109,1.4192039,2404.0,80.1262148,2099.0,2.4450185,2437.0,81.2450385,5.8219873,,,0.149425287,,0.149425287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1,6,231002_1200,1,Dual,Mufasa,Empty,2,0,,3,,,,False,2481.0,82.6897242,0.534372,2497.0,83.2240962,0.6339726,,,,,,,,,,,,,,,,,2404.0,2.5635094,2969.0,98.954944,,,,,,,,,,,,,,,,,,,
1,7,231002_1200,1,Dual,Mufasa,Empty,0,2,,4,,,,False,3009.0,100.3032717,0.5349299,3025.0,100.8382016,0.5338332,,,,,,,,,,,,,,,,,2969.0,1.3483277,3491.0,116.3688133,,,,,,,,,,,,,,,,,,,
1,0,231002_1216,1,Dual,Mufasa,Empty,2,0,,3,,,,False,35.0,1.1735874,0.5422832,51.0,1.7158706,0.7332946,,,,,,,,,,,,,,,,,0.0,,707.0,23.5674239,,,,,,,,,,,,,,,,,,,
1,1,231002_1216,1,Dual,Mufasa,Empty,2,0,High,3,2.0,2.0,,False,745.0,24.8357514,0.5316698,761.0,25.3674212,0.7338738,20.5213788,1399.0,46.6226738,1.2644153,3.3170445,1437.0,47.8870891,1.4375757,1480.0,49.3246648,0.6150535,1498.0,49.9397183,1.4251477,1541.0,51.364866,707.0,1.2683275,1574.0,52.4777132,5.8550394,1.0,1.0,,,,0.0,0.0,0.059248555,0.0,0.0,0.0,0.0,0.0,,,,,
