Session #,Trial,DateTime,Video #,TrialType,Player1,Player2,Choice1,Choice2,Choice,Condition,OtherReward,DictReward,OneChoice,OtherTrial,FixationPointFrame,FixationPointTime,FP:TO,TargetsOnFrame,TargetsOnTime,TO:GO,GO:Choice,ChoiceTimeFrame,ChoiceTime,Choice:RRS,Choice:DRS,RecipientRewardStartFrame,RecipientRewardStartTime,RRS:RRE,RecipientRewardEndFrame,RecipientRewardEndTime,RRE:DRS,DictatorRewardStartFrame,DictatorRewardStartTime,DRS:DRE,DictatorRewardEndFrame,DictatorRewardEndTime,RewardEndPrev,ITI,EndTrialFrame,EndTrialTime,Choice:ET,AvertedBeforeChoiceLong,AvertedBeforeChoiceShort,AvertedAfterChoiceFull,AvertedAfterChoiceBR,AvertedAfterChoiceAR,RewardAnticipationOther,RewardAnticipationSelf,RewardAnticipationBeforeLong,RewardAnticipationBeforeShort,RewardAnticipationAfterFull,RewardAnticipationAfterBR,RewardAnticipationDuringReward,RewardAnticipationAfterAR,StereoAvertBeforeLong,StereoAvertBeforeShort,StereoAvertAfterFull,StereoAvertAfterBR,StereoAvertAfterAR
1,0,230713_1235,1,Dual,Scar,Buba,0,4,High,6,,4.0,,False,22.0,1.1071652,0.5427155,33.0,1.6498807,0.6327094,0.8257101,61.0,3.1083002,,1.2445351,,,,,,,86.0,4.3528353,1.4451718,114.0,5.7980071,0.0,,137.0,6.926261,3.8179608,,1.0,0.616438356,0.863636364,0.541666667,,0.0,,0.0,0.473684211,0.0,0.464285714,0.705882353,,0.272727273,0.181818182,0.2,0.0
1,1,230713_1235,1,Dual,Scar,Buba,2,0,High,9,2.0,0.0,,True,164.0,8.3058309,0.5320958,174.0,8.8379267,0.7339066,10.2808138,391.0,19.8526471,1.264453,,416.0,21.1171001,1.4340037,445.0,22.5511038,,,,,,,114.0,2.5078238,467.0,23.6798709,3.8272238,0.775757576,0.650943396,0.797101449,0.666666667,0.833333333,0.0,,0.451263538,0.299539171,0.644736842,0.0,0.931034483,0.960784314,0.557377049,0.557377049,0.2,0.2,0.0
1,2,230713_1235,1,Dual,Scar,Buba,4,0,High,5,,4.0,,False,494.0,25.0375383,0.5305663,504.0,25.5681046,0.633553,6.6288231,647.0,32.8304807,,1.2457467,,,,,,,672.0,34.0762274,1.4285221,700.0,35.5047495,445.0,2.4864345,722.0,36.6326463,3.8021656,0.758064516,0.449438202,0.492537313,0.941176471,0.340425532,,0.0,0.628712871,0.475524476,0.573333333,0.0,0.75,0.86,0.479166667,0.479166667,0.2,0.111111111,0.0
1,3,230713_1235,1,Dual,Scar,Buba,2,4,High,8,4.0,0.0,,True,749.0,37.9766169,0.5348522,759.0,38.5114691,0.7338167,0.9073024,792.0,40.1525882,1.2479185,,816.0,41.4005067,1.4413959,845.0,42.8419026,,,,,,,700.0,2.4718674,867.0,43.961517,3.8089288,0.337078652,0.533333333,0.579710145,0.833333333,0.5,0.0,,0.315217391,0.0,0.466666667,0.0,0.448275862,0.68627451,0.414634146,0.266666667,0.210526316,0.2,0.0
1,4,230713_1235,1,Dual,Scar,Buba,0,2,High,4,,2.0,,False,894.0,45.3335913,0.5339124,905.0,45.8675037,0.7337094,3.7804033,994.0,50.3816164,,1.2595343,,,,,,,1018.0,51.6411507,1.4209632,1046.0,53.0621139,845.0,2.4916887,1070.0,54.2389473,3.8573309,0.336734694,0.372093023,0.561643836,0.666666667,0.489795918,,0.0,0.469798658,0.112359551,0.565789474,0.0,0.678571429,0.826923077,0.5,0.5,0.266666667,0.2,0.0
1,5,230713_1235,1,Dual,Scar,Buba,0,2,,10,,,,True,1097.0,55.6088777,0.5333556,1107.0,56.1422333,,,,,,,,,,,,,,,,,,1046.0,2.5467638,0.0,,,,,,,,,,,,,,,,,,,,
1,6,230713_1235,1,Dual,Scar,Buba,2,4,High,2,,4.0,,False,1257.0,63.7649951,0.5333931,1268.0,64.2983882,0.7340485,0.9736775,1302.0,66.0061142,,1.2464691,,,,,,,1326.0,67.2525833,1.4262018,1354.0,68.6787851,0.0,,1377.0,69.8093091,3.8031949,,0.931034483,0.694444444,1.0,0.604166667,,0.0,,0.0,0.36,0.0,0.142857143,0.529411765,,0.266666667,0.269230769,0.2,0.2
1,7,230713_1235,1,Dual,Scar,Buba,4,0,Low,11,0.0,1.0,,True,1403.0,71.1436554,0.5272394,1413.0,71.6708948,0.7340653,0.5928674,1440.0,72.9978275,1.0267729,4.5830949,1460.0,74.0246004,2.1213252,1502.0,76.1459256,1.4349968,1530.0,77.5809224,0.0909027,1532.0,77.6718251,1354.0,2.4648703,1552.0,78.7168999,5.7190724,0.725,0.714285714,0.52688172,0.631578947,0.447058824,0.0,0.0,0.593023256,0.0,0.169642857,0.0,0.380952381,0.206521739,0.266666667,0.2,0.557377049,0.111111111,0.444444444
1,8,230713_1235,1,Dual,Scar,Buba,2,0,High,3,,2.0,,False,1578.0,80.0106846,0.5343067,1588.0,80.5449913,0.733561,8.1275928,1763.0,89.4061451,,1.2494308,,,,,,,1788.0,90.6555759,1.4214475,1816.0,92.0770234,1532.0,2.3388595,1845.0,93.5635934,4.1574483,0.479452055,0.584415584,0.460526316,1.0,0.296296296,,0.0,0.584415584,0.548571429,0.414634146,0.0,0.285714286,0.596491228,0.534482759,0.431818182,0.173913043,0.2,0.2
1,9,230713_1235,1,Dual,Scar,Buba,4,2,High,7,4.0,3.0,,True,1871.0,94.9030086,0.5366826,1882.0,95.4396912,0.7340567,13.664264,2166.0,109.8380119,1.2492075,4.1073494,2191.0,111.0872194,1.4389011,2219.0,112.5261205,1.4192408,2247.0,113.9453613,0.2710747,2252.0,114.216436,1816.0,2.8259852,2274.0,115.3057689,5.467757,0.412280702,0.485714286,0.209302326,0.0,0.2,0.24,1.0,0.248571429,0.214788732,0.824074074,0.24,1.0,1.0,0.557377049,0.557377049,0.0,0.0,
1,10,230713_1235,1,Dual,Scar,Buba,4,2,High,1,,4.0,,False,2300.0,116.6299187,0.5272299,2310.0,117.1571486,0.5336812,5.1405956,2422.0,122.8314254,,1.24986,,,,,,,2447.0,124.0812854,1.4281474,2475.0,125.5094328,2252.0,2.4134827,2505.0,127.0225224,4.191097,0.655913978,0.377777778,0.216216216,0.3125,0.2,,0.6,0.552941176,0.321428571,0.879518072,0.6,1.0,1.0,0.431818182,0.431818182,0.0,0.0,
1,11,230713_1235,1,Dual,Scar,Buba,0,4,High,12,4.0,3.0,,True,2531.0,128.3529617,0.5300048,2542.0,128.8829665,0.5341325,4.0745345,2632.0,133.4916335,1.2480637,4.106026,2657.0,134.7396972,1.4376186,2685.0,136.1773158,1.4203437,2713.0,137.5976595,0.2709526,2719.0,137.8686121,2475.0,2.8435289,2741.0,138.9706335,5.479,0.466666667,0.7125,0.183673469,0.590909091,0.061728395,0.64,0.535714286,0.248407643,0.0,0.660550459,0.64,1.0,0.666666667,0.557377049,0.526315789,0.210526316,0.0,0.272727273
1,12,230713_1235,1,Dual,Scar,Buba,0,4,High,6,,4.0,,False,2767.0,140.3047359,0.5375281,2777.0,140.842264,0.7346788,2.8560589,2848.0,144.4330017,,1.2478181,,,,,,,2873.0,145.6808198,1.4265814,2901.0,147.1074012,2719.0,2.4361238,2931.0,148.6324844,4.1994827,0.530612245,0.764705882,0.625,0.909090909,0.527272727,,0.0,0.620155039,0.436619718,0.469879518,0.0,0.321428571,0.672413793,0.296296296,0.181818182,0.173913043,0.2,0.111111111
1,13,230713_1235,1,Dual,Scar,Buba,4,0,High,11,4.0,1.0,,True,2957.0,149.9309791,0.5358199,2967.0,150.466799,0.6338374,4.4105272,3067.0,155.5111636,1.2469611,4.1043837,3091.0,156.7581247,1.4379018,3120.0,158.1960265,1.4195208,3148.0,159.6155473,0.0911986,3149.0,159.7067459,2901.0,2.8235779,3171.0,160.8065816,5.295418,0.814285714,0.4,0.179487179,1.0,0.123287671,0.0,1.0,0.271084337,0.0,0.615384615,0.0,0.448275862,0.8,0.344827586,0.307692308,0.0,0.0,0.0
1,14,230713_1235,1,Dual,Scar,Buba,0,2,,4,,,,False,3197.0,162.1406453,0.5355683,3208.0,162.6762136,0.5343661,,,,,,,,,,,,,,,,,3149.0,2.4338994,3514.0,178.2073432,,,,,,,,,,,,,,,,,,,
1,15,230713_1235,1,Dual,Scar,Buba,0,4,Low,12,0.0,0.0,,True,3539.0,179.4650755,0.5249278,3549.0,179.9900033,0.6339444,5.9952064,3680.0,186.6191541,1.0291619,,3700.0,187.648316,2.1213341,3742.0,189.7696501,,,,,,,3514.0,1.2577323,3765.0,190.9077905,4.2886364,0.245614035,0.36,0.618181818,1.0,0.571428571,0.0,,0.0,0.0,0.152941176,0.0,0.30952381,0.2,0.534482759,0.534482759,0.173913043,0.0,0.266666667
1,16,230713_1235,2,Dual,Scar,Buba,2,0,High,3,,2.0,,False,3791.0,192.2471407,0.5363511,3802.0,192.7834918,0.734069,8.4109652,50.0,201.928526,,1.2488041,,,,,,,75.0,203.1773301,1.4212742,103.0,204.5986043,3742.0,2.4774906,133.0,206.1213393,4.1928133,,,0.415384615,0.470588235,0.344827586,,0.08,,,0.698795181,0.08,1.0,0.965517241,,,0.0,0.0,0.0
